"","Store","Date","Week_Sales","IsHoliday","Type","Size","mdayl","ydayl","ddayl"
"1",1,2010-02-05,1643690.9,"FALSE","A",151315,2,2010,5
"2",1,2010-08-13,1508237.76,"FALSE","A",151315,8,2010,13
"3",1,2011-08-26,1464693.46,"FALSE","A",151315,8,2011,26
"4",1,2012-03-02,1688420.76,"FALSE","A",151315,3,2012,2
"5",1,2012-09-07,1661767.33,"TRUE","A",151315,9,2012,7
"6",1,2010-02-12,1641957.44,"TRUE","A",151315,2,2010,12
"7",1,2011-07-01,1488538.09,"FALSE","A",151315,7,2011,1
"8",1,2012-01-06,1550369.92,"FALSE","A",151315,1,2012,6
"9",1,2012-07-13,1527014.04,"FALSE","A",151315,7,2012,13
"10",1,2012-09-14,1517428.87,"FALSE","A",151315,9,2012,14
"11",1,2010-04-23,1391256.12,"FALSE","A",151315,4,2010,23
"12",1,2011-05-06,1629391.28,"FALSE","A",151315,5,2011,6
"13",1,2011-11-11,1594938.89,"FALSE","A",151315,11,2011,11
"14",1,2012-05-18,1595901.87,"FALSE","A",151315,5,2012,18
"15",1,2010-02-26,1409727.59,"FALSE","A",151315,2,2010,26
"16",1,2011-03-11,1553191.63,"FALSE","A",151315,3,2011,11
"17",1,2011-09-16,1514259.78,"FALSE","A",151315,9,2011,16
"18",1,2012-09-28,1437059.26,"FALSE","A",151315,9,2012,28
"19",1,2012-05-25,1555444.55,"FALSE","A",151315,5,2012,25
"20",1,2011-01-14,1391013.96,"FALSE","A",151315,1,2011,14
"21",1,2011-07-22,1396926.82,"FALSE","A",151315,7,2011,22
"22",1,2012-08-03,1631135.79,"FALSE","A",151315,8,2012,3
"23",1,2012-10-05,1670785.97,"FALSE","A",151315,10,2012,5
"24",1,2012-06-01,1624477.58,"FALSE","A",151315,6,2012,1
"25",1,2010-11-19,1483784.18,"FALSE","A",151315,11,2010,19
"26",1,2012-06-08,1697230.96,"FALSE","A",151315,6,2012,8
"27",1,2011-12-02,1584083.95,"FALSE","A",151315,12,2011,2
"28",1,2012-10-12,1573072.81,"FALSE","A",151315,10,2012,12
"29",1,2010-09-24,1351791.03,"FALSE","A",151315,9,2010,24
"30",1,2011-04-01,1495064.75,"FALSE","A",151315,4,2011,1
"31",1,2012-04-13,1621031.7,"FALSE","A",151315,4,2012,13
"32",1,2012-10-19,1508068.77,"FALSE","A",151315,10,2012,19
"33",1,2010-07-30,1371986.6,"FALSE","A",151315,7,2010,30
"34",1,2011-02-04,1606629.58,"FALSE","A",151315,2,2011,4
"35",1,2012-02-17,1819870,"FALSE","A",151315,2,2012,17
"36",1,2012-08-24,1494122.38,"FALSE","A",151315,8,2012,24
"37",1,2012-10-26,1493659.74,"FALSE","A",151315,10,2012,26
"38",1,2010-06-04,1615524.71,"FALSE","A",151315,6,2010,4
"39",1,2011-12-23,2270188.99,"FALSE","A",151315,12,2011,23
"40",1,2012-06-29,1540421.49,"FALSE","A",151315,6,2012,29
"41",1,2012-08-31,1582083.4,"FALSE","A",151315,8,2012,31
"42",1,2010-04-09,1545418.53,"FALSE","A",151315,4,2010,9
"43",1,2010-10-15,1459409.1,"FALSE","A",151315,10,2010,15
"44",1,2011-10-28,1445249.09,"FALSE","A",151315,10,2011,28
"45",1,2012-05-04,1684519.99,"FALSE","A",151315,5,2012,4
"46",1,2011-06-24,1438830.15,"FALSE","A",151315,6,2011,24
"47",1,2010-08-20,1513080.49,"FALSE","A",151315,8,2010,20
"48",1,2011-09-02,1550229.22,"FALSE","A",151315,9,2011,2
"49",1,2012-03-09,1675431.16,"FALSE","A",151315,3,2012,9
"50",1,2012-05-11,1611096.05,"FALSE","A",151315,5,2012,11
"51",1,2010-02-19,1611968.17,"FALSE","A",151315,2,2010,19
"52",1,2011-07-08,1534849.64,"FALSE","A",151315,7,2011,8
"53",1,2012-01-13,1459601.17,"FALSE","A",151315,1,2012,13
"54",1,2012-07-20,1497954.76,"FALSE","A",151315,7,2012,20
"55",1,2012-09-21,1506126.06,"FALSE","A",151315,9,2012,21
"56",1,2010-04-30,1425100.71,"FALSE","A",151315,4,2010,30
"57",1,2011-05-13,1604775.58,"FALSE","A",151315,5,2011,13
"58",1,2011-11-18,1539483.7,"FALSE","A",151315,11,2011,18
"59",1,2012-07-27,1439123.71,"FALSE","A",151315,7,2012,27
"60",1,2010-03-05,1554806.68,"FALSE","A",151315,3,2010,5
"61",1,2011-03-18,1576818.06,"FALSE","A",151315,3,2011,18
"62",1,2011-09-23,1380020.27,"FALSE","A",151315,9,2011,23
"63",1,2011-11-25,2033320.66,"TRUE","A",151315,11,2011,25
"64",1,2012-03-30,1649604.63,"FALSE","A",151315,3,2012,30
"65",1,2011-01-21,1327405.42,"FALSE","A",151315,1,2011,21
"66",1,2011-07-29,1352219.79,"FALSE","A",151315,7,2011,29
"67",1,2012-08-10,1592409.97,"FALSE","A",151315,8,2012,10
"68",1,2012-02-03,1636339.65,"FALSE","A",151315,2,2012,3
"69",1,2012-04-06,1899676.88,"FALSE","A",151315,4,2012,6
"70",1,2010-11-26,1955624.11,"TRUE","A",151315,11,2010,26
"71",1,2012-06-15,1630607,"FALSE","A",151315,6,2012,15
"72",1,2011-12-09,1799682.38,"FALSE","A",151315,12,2011,9
"73",1,2012-02-10,1802477.43,"TRUE","A",151315,2,2012,10
"74",1,2010-10-01,1453329.5,"FALSE","A",151315,10,2010,1
"75",1,2011-04-08,1614259.35,"FALSE","A",151315,4,2011,8
"76",1,2012-04-20,1521577.87,"FALSE","A",151315,4,2012,20
"77",1,2011-12-16,1881176.67,"FALSE","A",151315,12,2011,16
"78",1,2010-08-06,1605491.78,"FALSE","A",151315,8,2010,6
"79",1,2011-02-11,1649614.93,"TRUE","A",151315,2,2011,11
"80",1,2012-02-24,1539387.83,"FALSE","A",151315,2,2012,24
"81",1,2012-04-27,1468928.37,"FALSE","A",151315,4,2012,27
"82",1,2011-10-21,1502562.78,"FALSE","A",151315,10,2011,21
"83",1,2010-06-11,1542561.09,"FALSE","A",151315,6,2010,11
"84",1,2011-12-30,1497462.72,"TRUE","A",151315,12,2011,30
"85",1,2012-07-06,1769854.16,"FALSE","A",151315,7,2012,6
"86",1,2012-03-23,1511068.07,"FALSE","A",151315,3,2012,23
"87",1,2010-04-16,1466058.28,"FALSE","A",151315,4,2010,16
"88",1,2010-10-22,1345454,"FALSE","A",151315,10,2010,22
"89",1,2011-11-04,1697229.58,"FALSE","A",151315,11,2011,4
"90",1,2011-04-29,1455090.69,"FALSE","A",151315,4,2011,29
"91",1,2011-10-14,1493525.93,"FALSE","A",151315,10,2011,14
"92",1,2010-08-27,1449142.92,"FALSE","A",151315,8,2010,27
"93",1,2011-09-09,1540471.24,"TRUE","A",151315,9,2011,9
"94",1,2012-03-16,1677472.78,"FALSE","A",151315,3,2012,16
"95",1,2011-06-17,1532114.86,"FALSE","A",151315,6,2011,17
"96",1,2011-08-19,1530761.43,"FALSE","A",151315,8,2011,19
"97",1,2011-07-15,1455119.97,"FALSE","A",151315,7,2011,15
"98",1,2012-01-20,1394393.84,"FALSE","A",151315,1,2012,20
"99",1,2012-08-17,1597868.05,"FALSE","A",151315,8,2012,17
"100",1,2011-01-07,1444732.28,"FALSE","A",151315,1,2011,7
"101",1,2010-05-07,1603955.12,"FALSE","A",151315,5,2010,7
"102",1,2011-05-20,1428218.27,"FALSE","A",151315,5,2011,20
"103",1,2012-01-27,1319325.59,"FALSE","A",151315,1,2012,27
"104",1,2010-11-12,1494479.49,"FALSE","A",151315,11,2010,12
"105",1,2010-03-12,1439541.59,"FALSE","A",151315,3,2010,12
"106",1,2011-03-25,1541102.38,"FALSE","A",151315,3,2011,25
"107",1,2011-09-30,1394561.83,"FALSE","A",151315,9,2011,30
"108",1,2010-12-31,1367320.01,"TRUE","A",151315,12,2010,31
"109",1,2011-03-04,1636263.41,"FALSE","A",151315,3,2011,4
"110",1,2011-01-28,1316899.31,"FALSE","A",151315,1,2011,28
"111",1,2011-08-05,1624383.75,"FALSE","A",151315,8,2011,5
"112",1,2011-04-22,1564819.81,"FALSE","A",151315,4,2011,22
"113",1,2011-10-07,1630989.95,"FALSE","A",151315,10,2011,7
"114",1,2011-06-03,1635078.41,"FALSE","A",151315,6,2011,3
"115",1,2010-12-03,1548033.78,"FALSE","A",151315,12,2010,3
"116",1,2012-06-22,1527845.81,"FALSE","A",151315,6,2012,22
"117",1,2011-08-12,1525147.09,"FALSE","A",151315,8,2011,12
"118",1,2011-06-10,1588948.32,"FALSE","A",151315,6,2011,10
"119",1,2010-10-08,1508239.93,"FALSE","A",151315,10,2010,8
"120",1,2011-04-15,1559889,"FALSE","A",151315,4,2011,15
"121",1,2011-05-27,1466046.67,"FALSE","A",151315,5,2011,27
"122",1,2010-07-16,1448938.92,"FALSE","A",151315,7,2010,16
"123",1,2010-09-17,1430378.67,"FALSE","A",151315,9,2010,17
"124",1,2011-02-18,1686842.78,"FALSE","A",151315,2,2011,18
"125",1,2010-11-05,1551659.28,"FALSE","A",151315,11,2010,5
"126",1,2010-12-17,1891034.93,"FALSE","A",151315,12,2010,17
"127",1,2010-05-28,1432069.95,"FALSE","A",151315,5,2010,28
"128",1,2010-06-18,1503284.06,"FALSE","A",151315,6,2010,18
"129",1,2010-12-24,2387950.2,"FALSE","A",151315,12,2010,24
"130",1,2011-02-25,1456800.28,"FALSE","A",151315,2,2011,25
"131",1,2010-04-02,1594968.28,"FALSE","A",151315,4,2010,2
"132",1,2010-10-29,1384209.22,"FALSE","A",151315,10,2010,29
"133",1,2010-12-10,1682614.26,"FALSE","A",151315,12,2010,10
"134",1,2010-07-02,1492418.14,"FALSE","A",151315,7,2010,2
"135",1,2010-09-03,1540163.53,"FALSE","A",151315,9,2010,3
"136",1,2010-05-21,1399662.07,"FALSE","A",151315,5,2010,21
"137",1,2010-09-10,1507460.69,"TRUE","A",151315,9,2010,10
"138",1,2010-07-23,1385065.2,"FALSE","A",151315,7,2010,23
"139",1,2010-07-09,1546074.18,"FALSE","A",151315,7,2010,9
"140",1,2010-06-25,1422711.6,"FALSE","A",151315,6,2010,25
"141",1,2010-05-14,1494251.5,"FALSE","A",151315,5,2010,14
"142",1,2010-03-26,1404429.92,"FALSE","A",151315,3,2010,26
"143",1,2010-03-19,1472515.79,"FALSE","A",151315,3,2010,19
"144",2,2012-05-11,1917520.99,"FALSE","A",202307,5,2012,11
"145",2,2010-02-05,2136989.46,"FALSE","A",202307,2,2010,5
"146",2,2012-05-04,1923957.09,"FALSE","A",202307,5,2012,4
"147",2,2011-12-16,2432736.52,"FALSE","A",202307,12,2011,16
"148",2,2012-03-30,1857480.84,"FALSE","A",202307,3,2012,30
"149",2,2012-09-21,1829415.67,"FALSE","A",202307,9,2012,21
"150",2,2012-05-18,2000940.67,"FALSE","A",202307,5,2012,18
"151",2,2012-10-19,1847990.41,"FALSE","A",202307,10,2012,19
"152",2,2012-07-27,1757923.88,"FALSE","A",202307,7,2012,27
"153",2,2012-03-23,1790439.16,"FALSE","A",202307,3,2012,23
"154",2,2012-05-25,1912791.09,"FALSE","A",202307,5,2012,25
