Year,timeDiff,Date,Temperature,Fuel_Price,Unemployment,IsHoliday,Weekly_Sales
1,35,205,34.03733333,2.717844444,8.619311111,0,16836.122
1,42,212,34.15133333,2.694022222,8.619311111,1,16352.05603
1,49,219,37.71977778,2.672066667,8.619311111,0,16216.65898
1,56,226,39.24355556,2.683933333,8.619311111,0,14899.54969
1,63,305,42.91733333,2.7312,8.619311111,0,15921.01573
1,70,312,47.43244444,2.774422222,8.619311111,0,15546.85055
1,77,319,49.95422222,2.817088889,8.619311111,0,15286.77358
1,84,326,48.47355556,2.824111111,8.619311111,0,14975.89449
1,91,402,53.12088889,2.827333333,8.497711111,0,17098.6203
1,98,409,58.42066667,2.853088889,8.497711111,0,16050.58978
1,105,416,58.02111111,2.889,8.497711111,0,15347.713
1,112,423,57.08955556,2.881733333,8.497711111,0,15252.11475
1,119,430,57.85466667,2.891533333,8.497711111,0,14967.50915
1,126,507,64.12511111,2.931866667,8.497711111,0,16542.71607
1,133,514,60.60955556,2.947,8.497711111,0,15513.37447
1,140,521,66.26266667,2.924111111,8.497711111,0,15499.86536
1,147,528,70.46022222,2.866422222,8.497711111,0,16428.44945
1,154,604,73.41088889,2.8088,8.497711111,0,17246.92203
1,161,611,74.53777778,2.788733333,8.497711111,0,16440.88921
1,168,618,73.56933333,2.763222222,8.497711111,0,16281.04145
1,175,625,78.78822222,2.791266667,8.497711111,0,15978.41491
1,182,702,77.13333333,2.793511111,8.428577778,0,16769.79242
1,189,709,78.91244444,2.783755556,8.428577778,0,16500.01012
1,196,716,80.40844444,2.762488889,8.428577778,0,15940.67548
1,203,723,81.13111111,2.763555556,8.428577778,0,15357.11567
1,210,730,79.15222222,2.766666667,8.428577778,0,15300.09031
1,217,806,79.99555556,2.777222222,8.428577778,0,16576.6847
1,224,813,79.48244444,2.807377778,8.428577778,0,16044.34337
1,231,820,79.46355556,2.7842,8.428577778,0,16222.3209
1,238,827,76.73733333,2.7632,8.428577778,0,15841.87041
1,245,903,76.44222222,2.742711111,8.428577778,0,16129.27464
1,252,910,72.44977778,2.721355556,8.428577778,1,15537.75888
1,259,917,71.23377778,2.735311111,8.428577778,0,14708.33954
1,266,924,71.07955556,2.738688889,8.428577778,0,14105.90532
1,273,1001,69.868,2.734333333,8.475288889,0,14391.78053
1,280,1008,61.734,2.758866667,8.475288889,0,15362.04844
1,287,1015,60.89088889,2.835644444,8.475288889,0,14726.78275
1,294,1022,59.13088889,2.850977778,8.475288889,0,14678.48314
1,301,1029,59.18577778,2.856577778,8.475288889,0,14871.36117
1,308,1105,52.68288889,2.842911111,8.475288889,0,15625.24979
1,315,1112,50.39977778,2.872911111,8.475288889,0,15753.00575
1,322,1119,48.14244444,2.911311111,8.475288889,0,15475.16604
1,329,1126,47.88955556,2.917955556,8.475288889,1,22403.33671
1,336,1203,41.59088889,2.889111111,8.475288889,0,16924.0515
1,343,1210,39.16511111,2.976377778,8.475288889,0,18882.89362
1,350,1217,40.35177778,3.005444444,8.475288889,0,20892.46362
1,357,1224,41.17733333,3.021333333,8.475288889,0,27378.69269
1,364,1231,36.78266667,3.048222222,8.475288889,1,13738.53857
2,6,107,35.27266667,3.089244444,8.2912,0,14599.24497
2,13,114,30.68955556,3.105,8.2912,0,13891.28348
2,20,121,37.52222222,3.126888889,8.2912,0,13932.36739
2,27,128,34.06444444,3.134688889,8.2912,0,13566.23946
2,34,204,30.48088889,3.134822222,8.2912,0,15773.44878
2,41,211,32.15911111,3.1624,8.2912,1,16111.70619
2,48,218,45.88377778,3.182577778,8.2912,0,16541.99121
2,55,225,43.15533333,3.2122,8.2912,0,15049.74756
2,62,304,44.77533333,3.3954,8.2912,0,15882.55705
2,69,311,47.09955556,3.537422222,8.2912,0,15056.45054
2,76,318,52.97644444,3.578866667,8.2912,0,15216.11596
2,83,325,51.60866667,3.576244444,8.2912,0,14573.82705
2,90,401,48.73644444,3.602355556,8.150133333,0,14726.86926
2,97,408,55.62733333,3.695444444,8.150133333,0,15634.57131
2,104,415,56.95333333,3.794288889,8.150133333,0,15229.70814
2,111,422,59.20533333,3.856555556,8.150133333,0,16472.65383
2,118,429,62.13977778,3.901155556,8.150133333,0,14745.94606
2,125,506,58.17511111,3.980644444,8.150133333,0,15757.2153
2,132,513,65.01066667,3.990755556,8.150133333,0,15317.20419
2,139,520,62.41555556,3.984533333,8.150133333,0,15002.24728
2,146,527,69.53222222,3.901577778,8.150133333,0,15390.23345
2,153,603,73.37422222,3.836577778,8.150133333,0,16691.30533
2,160,610,74.80177778,3.801244444,8.150133333,0,16302.91883
2,167,617,74.87511111,3.770377778,8.150133333,0,16111.22641
2,174,624,76.24422222,3.728222222,8.150133333,0,15649.41834
2,181,701,78.75911111,3.675977778,8.097488889,0,16232.86233
2,188,708,79.95422222,3.627644444,8.097488889,0,16328.6468
2,195,715,79.96711111,3.6744,8.097488889,0,15566.3235
2,202,722,82.17644444,3.724044444,8.097488889,0,15526.20418
2,209,729,81.208,3.744044444,8.097488889,0,14965.15049
2,216,805,81.36666667,3.757311111,8.097488889,0,16393.12631
2,223,812,80.46,3.723666667,8.097488889,0,15774.06863
2,230,819,79.15666667,3.666688889,8.097488889,0,15888.02832
2,237,826,80.162,3.636622222,8.097488889,0,16068.09504
2,244,902,79.29622222,3.651466667,8.097488889,0,15387.12217
2,251,909,73.44755556,3.681955556,8.097488889,1,15809.06948
2,258,916,71.04422222,3.680577778,8.097488889,0,14865.5669
2,265,923,68.67133333,3.636133333,8.097488889,0,14446.43109
2,272,930,72.78822222,3.579644444,8.097488889,0,14298.8244
2,279,1007,63.03644444,3.519844444,7.804222222,0,15960.67896
2,286,1014,63.01955556,3.488644444,7.804222222,0,15062.73601
2,293,1021,60.89555556,3.545311111,7.804222222,0,15521.32569
2,300,1028,56.46888889,3.541022222,7.804222222,0,15470.92478
2,307,1104,49.2,3.522044444,7.804222222,0,16471.07119
2,314,1111,49.11244444,3.488711111,7.804222222,0,16348.81105
2,321,1118,52.19155556,3.4874,7.804222222,0,15683.54629
2,328,1125,49.62755556,3.434311111,7.804222222,1,22043.56348
2,335,1202,45.922,3.3942,7.804222222,0,16496.51185
2,342,1209,38.20911111,3.361755556,7.804222222,0,18458.85306
2,349,1216,41.06555556,3.333622222,7.804222222,0,19942.14933
2,356,1223,39.61177778,3.291977778,7.804222222,0,25437.14612
2,363,1230,37.92622222,3.271066667,7.804222222,1,15332.15486
3,5,106,41.13333333,3.2994,7.508333333,0,15121.23174
3,12,113,39.69022222,3.370644444,7.508333333,0,14168.26651
3,19,120,39.74177778,3.3918,7.508333333,0,14221.3574
3,26,127,42.726,3.411555556,7.508333333,0,13494.23261
3,33,203,44.80444444,3.451688889,7.508333333,0,15480.55361
3,40,210,39.848,3.5008,7.508333333,1,16664.24789
3,47,217,40.20333333,3.562511111,7.508333333,0,16693.40105
3,54,224,45.124,3.620488889,7.508333333,0,15458.12447
3,60,302,45.48644444,3.696022222,7.508333333,0,15672.58695
3,67,309,47.55088889,3.752222222,7.508333333,0,15965.18296
3,74,316,54.74222222,3.827422222,7.508333333,0,15823.71962
3,81,323,57.14022222,3.8684,7.508333333,0,15195.47263
3,88,330,57.52844444,3.933555556,7.508333333,0,15289.72037
3,95,406,57.00222222,3.9652,7.419533333,0,17935.74116
3,102,413,58.30066667,3.997777778,7.419533333,0,15663.17145
3,109,420,61.35555556,3.984288889,7.419533333,0,15150.43018
3,116,427,62.77622222,3.950911111,7.419533333,0,14799.18717
3,123,504,64.676,3.906755556,7.419533333,0,15947.2751
3,130,511,64.838,3.869688889,7.419533333,0,15784.01581
3,137,518,67.63822222,3.834422222,7.419533333,0,15856.39662
3,144,525,71.79555556,3.788377778,7.419533333,0,16284.41459
3,151,601,72.94377778,3.750822222,7.419533333,0,16405.58944
3,158,608,71.99133333,3.689377778,7.419533333,0,16774.04452
3,165,615,75.04644444,3.644866667,7.419533333,0,16377.57466
3,172,622,77.76911111,3.5906,7.419533333,0,16098.71157
3,179,629,80.35311111,3.522577778,7.419533333,0,15887.18449
3,186,706,80.05466667,3.460844444,7.237333333,0,17309.36234
3,193,713,78.93866667,3.479755556,7.237333333,0,15616.44041
3,200,720,78.77644444,3.501266667,7.237333333,0,15602.82637
