,Store,Date,Year,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Week_Sales,Type,Size,timeDiff
1,1,2/5/2010,2010,42.31,2.572,211.0963582,8.106,FALSE,1643690.9,A,151315,35
2,1,2/12/2010,2010,38.51,2.548,211.2421698,8.106,TRUE,1641957.44,A,151315,42
3,1,2/19/2010,2010,39.93,2.514,211.2891429,8.106,FALSE,1611968.17,A,151315,49
4,1,2/26/2010,2010,46.63,2.561,211.3196429,8.106,FALSE,1409727.59,A,151315,56
5,1,3/5/2010,2010,46.5,2.625,211.3501429,8.106,FALSE,1554806.68,A,151315,63
6,1,3/12/2010,2010,57.79,2.667,211.3806429,8.106,FALSE,1439541.59,A,151315,70
7,1,3/19/2010,2010,54.58,2.72,211.215635,8.106,FALSE,1472515.79,A,151315,77
8,1,3/26/2010,2010,51.45,2.732,211.0180424,8.106,FALSE,1404429.92,A,151315,84
9,1,4/2/2010,2010,62.27,2.719,210.8204499,7.808,FALSE,1594968.28,A,151315,91
10,1,4/9/2010,2010,65.86,2.77,210.6228574,7.808,FALSE,1545418.53,A,151315,98
11,1,4/16/2010,2010,66.32,2.808,210.4887,7.808,FALSE,1466058.28,A,151315,105
12,1,4/23/2010,2010,64.84,2.795,210.4391228,7.808,FALSE,1391256.12,A,151315,112
13,1,4/30/2010,2010,67.41,2.78,210.3895456,7.808,FALSE,1425100.71,A,151315,119
14,1,5/7/2010,2010,72.55,2.835,210.3399684,7.808,FALSE,1603955.12,A,151315,126
15,1,5/14/2010,2010,74.78,2.854,210.3374261,7.808,FALSE,1494251.5,A,151315,133
16,1,5/21/2010,2010,76.44,2.826,210.6170934,7.808,FALSE,1399662.07,A,151315,140
17,1,5/28/2010,2010,80.44,2.759,210.8967606,7.808,FALSE,1432069.95,A,151315,147
18,1,6/4/2010,2010,80.69,2.705,211.1764278,7.808,FALSE,1615524.71,A,151315,154
19,1,6/11/2010,2010,80.43,2.668,211.4560951,7.808,FALSE,1542561.09,A,151315,161
20,1,6/18/2010,2010,84.11,2.637,211.4537719,7.808,FALSE,1503284.06,A,151315,168
21,1,6/25/2010,2010,84.34,2.653,211.3386526,7.808,FALSE,1422711.6,A,151315,175
22,1,7/2/2010,2010,80.91,2.669,211.2235333,7.787,FALSE,1492418.14,A,151315,182
23,1,7/9/2010,2010,80.48,2.642,211.108414,7.787,FALSE,1546074.18,A,151315,189
24,1,7/16/2010,2010,83.15,2.623,211.1003854,7.787,FALSE,1448938.92,A,151315,196
25,1,7/23/2010,2010,83.36,2.608,211.2351443,7.787,FALSE,1385065.2,A,151315,203
26,1,7/30/2010,2010,81.84,2.64,211.3699032,7.787,FALSE,1371986.6,A,151315,210
27,1,8/6/2010,2010,87.16,2.627,211.5046621,7.787,FALSE,1605491.78,A,151315,217
28,1,8/13/2010,2010,87,2.692,211.6394211,7.787,FALSE,1508237.76,A,151315,224
29,1,8/20/2010,2010,86.65,2.664,211.6033633,7.787,FALSE,1513080.49,A,151315,231
30,1,8/27/2010,2010,85.22,2.619,211.5673056,7.787,FALSE,1449142.92,A,151315,238
31,1,9/3/2010,2010,81.21,2.577,211.5312479,7.787,FALSE,1540163.53,A,151315,245
32,1,9/10/2010,2010,78.69,2.565,211.4951902,7.787,TRUE,1507460.69,A,151315,252
33,1,9/17/2010,2010,82.11,2.582,211.5224596,7.787,FALSE,1430378.67,A,151315,259
34,1,9/24/2010,2010,80.94,2.624,211.5972246,7.787,FALSE,1351791.03,A,151315,266
35,1,10/1/2010,2010,71.89,2.603,211.6719895,7.838,FALSE,1453329.5,A,151315,273
36,1,10/8/2010,2010,63.93,2.633,211.7467544,7.838,FALSE,1508239.93,A,151315,280
37,1,10/15/2010,2010,67.18,2.72,211.8137436,7.838,FALSE,1459409.1,A,151315,287
38,1,10/22/2010,2010,69.86,2.725,211.8612937,7.838,FALSE,1345454,A,151315,294
39,1,10/29/2010,2010,69.64,2.716,211.9088438,7.838,FALSE,1384209.22,A,151315,301
40,1,11/5/2010,2010,58.74,2.689,211.9563939,7.838,FALSE,1551659.28,A,151315,308
41,1,11/12/2010,2010,59.61,2.728,212.003944,7.838,FALSE,1494479.49,A,151315,315
42,1,11/19/2010,2010,51.41,2.771,211.8896737,7.838,FALSE,1483784.18,A,151315,322
